title,genre
12 Angry Men,Drama
2001: A Space Odyssey,Science Fiction
The 400 Blows,Drama
"The Adventures of Priscilla, Queen of the Desert",Drama
The Adventures of Robin Hood,Adventure
Aguirre: The Wrath of God,Action
Airplane!,Comedy
Akira,Animation
Alien,Horror
Aliens,Action
All About Eve,Drama
All About My Mother,Drama
All the President's Men,Drama
Almost Famous,Adventure
Amadeus,Biography
Amélie,Comedy
Amour,Drama
An American in Paris,Comedy
Annie Hall,Comedy
The Apartment,Comedy
Apocalypse Now,Drama
Avengers: Endgame,Action
Back to the Future,Adventure
Badlands,Crime
Beauty and the Beast,Family
Being John Malkovich,Comedy
Being There,Comedy
The Best Years of Our Lives,Drama
Better Luck Tomorrow,Crime
Bicycle Thieves,Drama
The Big Lebowski,Comedy
The Big Sick,Biography
Birdman or (The Unexpected Virtue of Ignorance),Comedy
Black Hawk Down,Action
Black Orpheus,Fantasy
Black Panther,Action
Blade Runner,Science Fiction
Blazing Saddles,Comedy
Boogie Nights,Comedy
Boys Don't Cry,Biography
Boyz N the Hood,Crime
The Breakfast Club,Comedy
Breathless,Crime
Bridesmaids,Comedy
The Bridge on the River Kwai,Adventure
Bridget Jones's Diary,Comedy
Broadcast News,Comedy
Brokeback Mountain,Drama
Butch Cassidy and the Sundance Kid,Adventure
Cabaret,Comedy
The Cabinet of Dr. Caligari,Horror
Call Me by Your Name,Drama
Carol,Drama
Casablanca,Drama
Casino Royale,Action
Children of Men,Action
Chinatown,Crime
City of God,Crime
Cinema Paradiso,Comedy
Citizen Kane,Drama
City Lights,Comedy
Clerks,Comedy
A Clockwork Orange,Crime
Clueless,Comedy
Coco,Animation
Crazy Rich Asians,Comedy
Creed,Action
"Crouching Tiger, Hidden Dragon",Action
The Dark Knight,Action
Dawn of the Dead,Action
The Day the Earth Stood Still,Action
Dazed and Confused,Comedy
Dead Poets Society,Comedy
Die Hard,Action
Do the Right Thing,Comedy
Doctor Zhivago,Drama
Dog Day Afternoon,Crime
Don't Look Now,Drama
Double Indemnity,Crime
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,Comedy
Dracula,Horror
Drive,Action
Drunken Master II,Action
Duck Soup,Comedy
E.T. the Extra-Terrestrial,Terrestrial
Easy Rider,Drama
Edward Scissorhands,Fantasy
Election,Comedy
The Elephant Man,Drama
Enter the Dragon,Action
Eternal Sunshine of the Spotless Mind,Science Fiction
Evil Dead 2,Horror
The Exorcist,Horror
The Farewell,Comedy
Fargo,Crime
Fast Five,Action
Fast Times at Ridgemont High,Comedy
Fight Club,Drama
Fish Tank,Drama
Forbidden Planet,Science Fiction
Four Weddings and a Funeral,Comedy
Frankenstein,Horror
The French Connection,Crime
Frida,Biography
Gallipoli,War
Gandhi,Biography
Gattaca,Science Fiction
The General,Comedy
Get Out,Horror
Ghost in the Shell,Science Fiction
Ghostbusters,Comedy
Girls Trip,Comedy
The Godfather,Crime
"The Godfather, Part II",Crime
Godzilla,Science Fiction
007: Goldfinger,Action
"The Good, the Bad and the Ugly",Western
Goodfellas,Crime
The Grand Budapest Hotel,Comedy
Grand Illusion,War
The Grapes of Wrath,Drama
Grease,Musical
The Great Escape,War
Groundhog Day,Comedy
Guardians of the Galaxy,Science Fiction
Hairspray,Musical
Halloween,Horror
A Hard Day's Night,Musical
Harold and Maude,Comedy
Harry Potter and the Prisoner of Azkaban,Fantasy
The Hate U Give,Drama
Heat,Crime
Heathers,Comedy
Hedwig and the Angry Inch,Musical
Hero,Action
High Noon,Western
His Girl Friday,Comedy
The Hunt,Horror
Ikiru,Drama
In the Heat of the Night,Crime
In the Mood for Love,Romance
Inception,Science Fiction
Inglourious Basterds,War
Inside Out,Animation
The Iron Giant,Animation
Iron Man,Science Fiction
It Happened One Night,Comedy
It's a Wonderful Life,Drama
Jaws,Horror
John Wick,Action