title,link,genre
12 Angry Men,https://www.rottentomatoes.com/m/1000013_12_angry_men,Drama
2001: A Space Odyssey,https://www.rottentomatoes.com/m/2001_a_space_odyssey,Science Fiction
The 400 Blows,https://www.rottentomatoes.com/m/400_blows,Drama
"The Adventures of Priscilla, Queen of the Desert",https://www.rottentomatoes.com/m/adventures_of_priscilla_queen_of_the_desert,Drama
The Adventures of Robin Hood,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood,Adventure
Aguirre: The Wrath of God,https://www.rottentomatoes.com/m/aguirre_the_wrath_of_god,Action
Airplane!,https://www.rottentomatoes.com/m/airplane,Comedy
Akira,https://www.rottentomatoes.com/m/akira,Animation
Alien,https://www.rottentomatoes.com/m/alien,Horror
Aliens,https://www.rottentomatoes.com/m/1000617-aliens,Action
All About Eve,https://www.rottentomatoes.com/m/1000626-all_about_eve,Drama
All About My Mother,https://www.rottentomatoes.com/m/all_about_my_mother,Drama
All the President's Men,https://www.rottentomatoes.com/m/all_the_presidents_men,Drama
Almost Famous,https://www.rottentomatoes.com/m/almost_famous,Adventure
Amadeus,https://www.rottentomatoes.com/m/amadeus,Biography
Amélie,https://www.rottentomatoes.com/m/amelie,Comedy
Amour,https://www.rottentomatoes.com/m/amour_2013,Drama
An American in Paris,https://www.rottentomatoes.com/m/american_in_paris,Comedy
Annie Hall,https://www.rottentomatoes.com/m/annie_hall,Comedy
The Apartment,https://www.rottentomatoes.com/m/1001115-apartment,Comedy
Apocalypse Now,https://www.rottentomatoes.com/m/apocalypse_now,Drama
Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame,Action
Back to the Future,https://www.rottentomatoes.com/m/back_to_the_future,Adventure
Badlands,https://www.rottentomatoes.com/m/badlands,Crime
Beauty and the Beast,https://www.rottentomatoes.com/m/beauty_and_the_beast_1991,Family
Being John Malkovich,https://www.rottentomatoes.com/m/being_john_malkovich,Comedy
Being There,https://www.rottentomatoes.com/m/being_there,Comedy
The Best Years of Our Lives,https://www.rottentomatoes.com/m/best_years_of_our_lives,Drama
Better Luck Tomorrow,https://www.rottentomatoes.com/m/better_luck_tomorrow,Crime
Bicycle Thieves,https://www.rottentomatoes.com/m/bicycle_thieves,Drama
The Big Lebowski,https://www.rottentomatoes.com/m/the_big_lebowski,Comedy
The Big Sick,https://www.rottentomatoes.com/m/the_big_sick,Biography
Birdman or (The Unexpected Virtue of Ignorance),https://www.rottentomatoes.com/m/birdman_2014,Comedy
Black Hawk Down,https://www.rottentomatoes.com/m/black_hawk_down,Action
Black Orpheus,https://www.rottentomatoes.com/m/black_orpheus,Fantasy
Black Panther,https://www.rottentomatoes.com/m/black_panther_2018,Action
Blade Runner,https://www.rottentomatoes.com/m/blade_runner,Science Fiction
Blazing Saddles,https://www.rottentomatoes.com/m/blazing_saddles,Comedy
Boogie Nights,https://www.rottentomatoes.com/m/boogie_nights,Comedy
Boys Don't Cry,https://www.rottentomatoes.com/m/boys_dont_cry,Biography
Boyz N the Hood,https://www.rottentomatoes.com/m/boyz_n_the_hood,Crime
The Breakfast Club,https://www.rottentomatoes.com/m/breakfast_club,Comedy
Breathless,https://www.rottentomatoes.com/m/breathless,Crime
Bridesmaids,https://www.rottentomatoes.com/m/bridesmaids_2011,Comedy
The Bridge on the River Kwai,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai,Adventure
Bridget Jones's Diary,https://www.rottentomatoes.com/m/bridget_jones_diary,Comedy
Broadcast News,https://www.rottentomatoes.com/m/broadcast_news,Comedy
Brokeback Mountain,https://www.rottentomatoes.com/m/brokeback_mountain,Drama
Butch Cassidy and the Sundance Kid,https://www.rottentomatoes.com/m/1003318-butch_cassidy_and_the_sundance_kid,Adventure
Cabaret,https://www.rottentomatoes.com/m/cabaret,Comedy
The Cabinet of Dr. Caligari,https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari,Horror
Call Me by Your Name,https://www.rottentomatoes.com/m/call_me_by_your_name,Drama
Carol,https://www.rottentomatoes.com/m/carol,Drama
Casablanca,https://www.rottentomatoes.com/m/1003707-casablanca,Drama
Casino Royale,https://www.rottentomatoes.com/m/casino_royale,Action
Children of Men,https://www.rottentomatoes.com/m/children_of_men,Action
Chinatown,https://www.rottentomatoes.com/m/chinatown,Crime
City of God,https://www.rottentomatoes.com/m/city_of_god,Crime
Cinema Paradiso,https://www.rottentomatoes.com/m/cinema_paradiso,Comedy
Citizen Kane,https://www.rottentomatoes.com/m/citizen_kane,Drama
City Lights,https://www.rottentomatoes.com/m/city_lights,Comedy
Clerks,https://www.rottentomatoes.com/m/clerks,Comedy
A Clockwork Orange,https://www.rottentomatoes.com/m/clockwork_orange,Crime
Clueless,https://www.rottentomatoes.com/m/clueless,Comedy
Coco,https://www.rottentomatoes.com/m/coco_2017,Animation
Crazy Rich Asians,https://www.rottentomatoes.com/m/crazy_rich_asians,Comedy
Creed,https://www.rottentomatoes.com/m/creed_2015,Action
"Crouching Tiger, Hidden Dragon",https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon,Action
The Dark Knight,https://www.rottentomatoes.com/m/the_dark_knight,Action
Dawn of the Dead,https://www.rottentomatoes.com/m/1005339-dawn_of_the_dead,Action
The Day the Earth Stood Still,https://www.rottentomatoes.com/m/1005371-day_the_earth_stood_still,Action
Dazed and Confused,https://www.rottentomatoes.com/m/dazed_and_confused,Comedy
Dead Poets Society,https://www.rottentomatoes.com/m/dead_poets_society,Comedy
Die Hard,https://www.rottentomatoes.com/m/die_hard,Action
Do the Right Thing,https://www.rottentomatoes.com/m/do_the_right_thing,Comedy
Doctor Zhivago,https://www.rottentomatoes.com/m/1006037-doctor_zhivago,Drama
Dog Day Afternoon,https://www.rottentomatoes.com/m/dog_day_afternoon,Crime
Don't Look Now,https://www.rottentomatoes.com/m/dont_look_now,Drama
Double Indemnity,https://www.rottentomatoes.com/m/double_indemnity,Crime
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,https://www.rottentomatoes.com/m/dr_strangelove,Comedy
Dracula,https://www.rottentomatoes.com/m/1006234-dracula,Horror
Drive,https://www.rottentomatoes.com/m/drive_2011,Action
Drunken Master II,https://www.rottentomatoes.com/m/legend_of_drunken_master,Action
Duck Soup,https://www.rottentomatoes.com/m/duck_soup,Comedy
E.T. the Extra-Terrestrial,https://www.rottentomatoes.com/m/et_the_extraterrestrial,Terrestrial
Easy Rider,https://www.rottentomatoes.com/m/easy_rider,Drama
Edward Scissorhands,https://www.rottentomatoes.com/m/edward_scissorhands,Fantasy
Election,https://www.rottentomatoes.com/m/election,Comedy
The Elephant Man,https://www.rottentomatoes.com/m/1006527-elephant_man,Drama
Enter the Dragon,https://www.rottentomatoes.com/m/enter_the_dragon,Action
Eternal Sunshine of the Spotless Mind,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind,Science Fiction
Evil Dead 2,https://www.rottentomatoes.com/m/evil_dead_2_dead_by_dawn,Horror
The Exorcist,https://www.rottentomatoes.com/m/exorcist,Horror
The Farewell,https://www.rottentomatoes.com/m/the_farewell_2019,Comedy
Fargo,https://www.rottentomatoes.com/m/fargo,Crime
Fast Five,https://www.rottentomatoes.com/m/fast_five,Action
Fast Times at Ridgemont High,https://www.rottentomatoes.com/m/fast_times_at_ridgemont_high,Comedy
Fight Club,https://www.rottentomatoes.com/m/fight_club,Drama
Fish Tank,https://www.rottentomatoes.com/m/fish_tank,Drama
Forbidden Planet,https://www.rottentomatoes.com/m/forbidden_planet,Science Fiction
Four Weddings and a Funeral,https://www.rottentomatoes.com/m/four_weddings_and_a_funeral,Comedy
Frankenstein,https://www.rottentomatoes.com/m/1007818-frankenstein,Horror
The French Connection,https://www.rottentomatoes.com/m/french_connection,Crime
Frida,https://www.rottentomatoes.com/m/frida,Biography
Gallipoli,https://www.rottentomatoes.com/m/1008074-gallipoli,War
Gandhi,https://www.rottentomatoes.com/m/gandhi,Biography
Gattaca,https://www.rottentomatoes.com/m/gattaca,Science Fiction
The General,https://www.rottentomatoes.com/m/1008166-general,Comedy
Get Out,https://www.rottentomatoes.com/m/get_out,Horror
Ghost in the Shell,https://www.rottentomatoes.com/m/ghost_in_the_shell,Science Fiction
Ghostbusters,https://www.rottentomatoes.com/m/ghostbusters,Comedy
Girls Trip,https://www.rottentomatoes.com/m/girls_trip,Comedy
The Godfather,https://www.rottentomatoes.com/m/the_godfather,Crime
"The Godfather, Part II",https://www.rottentomatoes.com/m/godfather_part_ii,Crime
Godzilla,https://www.rottentomatoes.com/m/godzilla_1956,Science Fiction
007: Goldfinger,https://www.rottentomatoes.com/m/goldfinger,Action
"The Good, the Bad and the Ugly",https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly,Western
Goodfellas,https://www.rottentomatoes.com/m/1032176-goodfellas,Crime
The Grand Budapest Hotel,https://www.rottentomatoes.com/m/the_grand_budapest_hotel,Comedy
Grand Illusion,https://www.rottentomatoes.com/m/la_grande_illusion,War
The Grapes of Wrath,https://www.rottentomatoes.com/m/grapes_of_wrath,Drama
Grease,https://www.rottentomatoes.com/m/grease,Musical
The Great Escape,https://www.rottentomatoes.com/m/the_great_escape,War
Groundhog Day,https://www.rottentomatoes.com/m/groundhog_day,Comedy
Guardians of the Galaxy,https://www.rottentomatoes.com/m/guardians_of_the_galaxy,Science Fiction
Hairspray,https://www.rottentomatoes.com/m/hairspray_1988,Musical
Halloween,https://www.rottentomatoes.com/m/1009113-halloween,Horror
A Hard Day's Night,https://www.rottentomatoes.com/m/beatles_a_hard_days_night,Musical
Harold and Maude,https://www.rottentomatoes.com/m/harold_and_maude,Comedy
Harry Potter and the Prisoner of Azkaban,https://www.rottentomatoes.com/m/harry_potter_and_the_prisoner_of_azkaban,Fantasy
The Hate U Give,https://www.rottentomatoes.com/m/the_hate_u_give,Drama
Heat,https://www.rottentomatoes.com/m/heat_1995,Crime
Heathers,https://www.rottentomatoes.com/m/heathers,Comedy
Hedwig and the Angry Inch,https://www.rottentomatoes.com/m/hedwig_and_the_angry_inch,Musical
Hero,https://www.rottentomatoes.com/m/hero,Action
High Noon,https://www.rottentomatoes.com/m/1046060-high_noon,Western
His Girl Friday,https://www.rottentomatoes.com/m/his_girl_friday,Comedy
The Hunt,https://www.rottentomatoes.com/m/the_hunt_2013,Horror
Ikiru,https://www.rottentomatoes.com/m/ikiru,Drama
In the Heat of the Night,https://www.rottentomatoes.com/m/in_the_heat_of_the_night,Crime
In the Mood for Love,https://www.rottentomatoes.com/m/in_the_mood_for_love_2001,Romance
Inception,https://www.rottentomatoes.com/m/inception,Science Fiction
Inglourious Basterds,https://www.rottentomatoes.com/m/inglourious_basterds,War
Inside Out,https://www.rottentomatoes.com/m/inside_out_2015,Animation
The Iron Giant,https://www.rottentomatoes.com/m/iron_giant,Animation
Iron Man,https://www.rottentomatoes.com/m/iron_man,Science Fiction
It Happened One Night,https://www.rottentomatoes.com/m/it_happened_one_night,Comedy
It's a Wonderful Life,https://www.rottentomatoes.com/m/its_a_wonderful_life,Drama
Jaws,https://www.rottentomatoes.com/m/jaws,Horror
John Wick,https://www.rottentomatoes.com/m/john_wick,Action